"id","nom","visuel","raison_sociale","adresse1","adresse2","adresse3","code_postal","ville","latitude","longitude","SIRET","APE","RCS","agence_CTRB","licence_agrement","tel_fixe","tel_mobile","fax","email","site_web","resa_directe","type_hotel","categorie","nb_chambre_pref","nb_chambre_dispo_location","nb_chambre","nb_chambre_familiales","nb_suites","nb_chambre_pers_mobilite_reduite","nb_salle_reunion","label","chaine","description","ouverture","langue","animaux_acceptes","resa_derniere_minute","parking_autocars","groupes_acceptes","groupe_nb_mini","groupe_nb_maxi","gratuite_groupes","commissionnement_agence_voyages","mode_paiement","confort","equipement","service","activites","description_animations","tarif_mini_chambre_double_hors_petit_dej","tarif_maxi_chambre_double_hors_petit_dej","tarif_mini_chambre_familiale","tarif_maxi_chambre_familiale","tarif_mini_suite","tarif_maxi_suite","tarif_mini_petit_dej","tarif_maxi_petit_dej","tarif_mini_demi_pension","tarif_maxi_demi_pension","tarif_mini_VRP_diner_petit_dej","tarif_maxi_VRP_diner_petit_dej","tarif_mini_groupe_chambre_double_petit_dej","tarif_maxi_groupe_chambre_double_petit_dej","tarif_mini_groupe_demi_pension","tarif_maxi_groupe_demi_pension"
"58","Hôtel du Moulin","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/I/Image81.jpg","SARL Hôtel du Moulin","Route de Cuisery",,,"01190","Arbigny","46,4811223","4,9699831",,,,,,"03 85 36 49 27",,"03 85 30 66 91","mailto:contact@moulindelabrevette.com","http://www.moulindelabrevette.com",,"Hôtels","2 étoiles",,,"17",,,,,"Qualité Tourisme","Contact Hôtel, L'Hôtellerie Familiale, Moulin Etape","Hôtel situé près de Tournus et Pont de Vaux, à la campagne. ","Ouvert toute l'année.","Anglais","Oui",,"Oui","Oui",,"60.0",,,"Chèques Vacances","Télévision, Accès Internet","Bar, Jardin, Parc, Jeux pour enfants","Wifi, Service en chambre, Location ou prêt de vélos/VTT",,,"55.0",,"0","0",,,,,,,,,,,,
"59","Hôtel du Nord",,"Hôtel du Nord","13, rue du 11 Novembre 1918",,,"71300","Montceau-les-Mines","46,6764762","4,3654301","41382526600013","551A","341416956",,,"03 85 57 05 33",,,,,,"Hôtels",,"13.0","13.0","13",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"60","Hôtel du Nord","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000445.jpg","Hôtel du Nord","313, quai Jean Jaurès",,,"71000","Mâcon","46,3065114","4,8364936","48240743400018","6709","482407434",,,"03 85 38 08 68","06 03 94 31 75","03 85 39 01 92","mailto: contact@hotel-dunord.com","http://www.hotel-dunord.com",,"Hôtels","2 étoiles","21.0","16.0","16",,,,,,,"Petit hôtel familial, non fumeur, bordé par la Saône et les quartiers historiques du centre-ville, l'hôtel du Nord vous offre son confort, sa vue et sa situation privilégiée à proximité des meilleurs restaurants. Wifi dans chaque chambre (gratuit). Hôtel adhérent à Contact Hôtel.",,"Anglais","Non",,"Non","Non",,,,"Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Climatisation, Télévision","Ascenseur, Garage privé",,,,,,"0","0",,,,,,,,,,,,
"61","Hôtel Formule 1","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000514.jpg","Hôtel Formule 1","Espace d'Activité Sennecé",,,"71000","Sennecé-les-Mâcon","46,3620458","4,8338665",,,"B378114110",,,"03 85 37 59 00",,"03 85 36 01 07",,"http://www.hotelformule1.com",,"Hôtels","Sans étoile","64.0",,"64",,,,,,"hotelF1",,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"62","Hôtel Formule 1",,"Hôtel Formule 1","Avenue de l'Europe",,,"71100","Chalon-sur-Saône","46,7982749","4,8353009",,,,,,"08 91 70 52 10",,"03 85 43 68 58","mailto: h2315-re@accor.com","http://www.accorhotels.com/fr/hotel-2315-formule-1-hotelf1-chalon-sur-saone-nord/index.shtml",,"Hôtels","1 étoile (hôtel), 1 étoile (nouveau classement)","64.0","64.0","64",,,,,,"hotelF1",,,,,,,,,,,,,,,,"Randonnée voie verte",,,,"0","0",,,,,,,,,,,,
"63","Hôtel Formule 1",,"Hôtel Formule 1","RN80",,,"71210","Écuisses","46,7463297","4,5196465","40049590900014",,"B400495909",,,"08 91 70 53 20",,,,"http://www.hotelformule1.com",,"Hôtels","1 étoile (hôtel), 1 étoile (nouveau classement)","61.0","61.0","61",,,"3.0",,,"hotelF1","Établissement ouvert 7 jours sur 7. Chambres pour 1, 2 ou 3 personnes. ","Ouvert toute l'année.",,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"64","Hôtel Greuze","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146297.jpg","Hôtel Greuze","12, avenue Gambetta",,,"71700","Tournus","46,5645725","4,9078488","33262943500014","551C","332629435",,,"03 85 51 77 77",,"03 85 51 77 23","mailto: contact@hotelgreuze.fr","http://www.hotelgreuze.fr",,"Hôtels","4 étoiles (hôtel), 4 étoiles (nouveau classement)","21.0","21.0","21",,"3.0","1.0","1.0",,,"Chambres insonorisées et décorées chacune dans un style différent.","Ouvert toute l'année.","Anglais","Oui",,,"Oui","8.0","30.0","1/2 double offerte pour 20 personnes payantes.","Oui",,"Accès Internet, Câble/ satellite, Canal +, Climatisation, Mini-bar, Télévision, Wifi","Ascenseur, Bar, Jardin, Local matériel fermé, Parking privé","Coffres clients, Service en chambre",,,,,"0","0",,,,,,,,,,,,
"65","Hôtel Grill Campanile",,"Hôtel Grill Campanile","Rue Raoul Ponchon - Le Champ Fleuri",,,"71100","Chalon-sur-Saône","46,793275","4,833535","35148510700020","551A","351485107",,,"03 85 41 23 24",,"03 85 46 71 43",,,,"Hôtels - restaurant","3 étoiles (nouveau classement), 3 étoiles (hôtel)","76.0","76.0","76",,,,"1.0",,"Campanile","Hôtel situé à proximité de l'autoroute où la campagne est reine. Nous offrons dans les chambres plateau courtoisie, TV canal+, canal-satellite. La plupart des chambres donnent sur les jardins fleuris et vous apportent ainsi la tranquillité pendant votre séjour. Activités sportives sur demande (natation, squash : gratuit).",,,,,,,,,,,,,"Restaurant",,,,,,"0","0",,,,,,,,,,,,
"66","""Hôtel Ibis Europe - Restaurant """"Le Gourmand""""""","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146217.jpg","""Hôtel Ibis Europe - Restaurant """"Le Gourmand""""""","2, rue Georges Feydeau",,,"71100","Chalon-sur-Saône","46,793958","4,8344721","37928868100024","551A","379288681",,,"03 85 41 04 10",,"03 85 41 04 11","mailto: H1565@accor.com","http://www.hotel-ibis-chalon.com",,"Hôtels - restaurant","3 étoiles (hôtel), 3 étoiles (nouveau classement)","86.0","86.0","86","2.0",,"4.0","4.0","Bourgogne Séminaires","Ibis","Ouvert depuis avril 1992. Confort, accueil 24/24h. 86 chambres climatisées, insonorisées, équipées de bains, wc, télévision, canal +, satellite, radio-réveil, téléphone direct, restaurant-bar, piscine, billard, salons et terrasse.",,"Anglais","Oui","Oui","Oui","Oui","25.","100.","1 gratuité en demi double pour 25 personnes payantes",,,"Accès Internet","Restaurant","Wifi","Piscine plein-air",,"74.0","89.0","110","110",,,,"9.0",,,,,,,,
"67","Hôtel Ibis Nord","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000280.jpg","Hôtel Ibis Nord","Carrefour des Moirots",,,"71100","Chalon-sur-Saône","46,7983621","4,8387685","38782709000029","551C","B387827090",,,"03 85 46 64 62",,"03 85 46 39 17","mailto: H0608@accor.com",,,"Hôtels","3 étoiles (hôtel), 3 étoiles (nouveau classement)","60.0","60.0","60",,,"1.0",,"Qualité Tourisme","Ibis","Tourisme, affaires ou loisirs. Accueil convivial. Chambres climatisées, équipées d'une salle de bains complète, d'un téléphone direct, de TV avec canal+ et chaînes européennes. Réception à votre disposition 24h/24. Parking gratuit. Accès Wifi. Restaurant à proximité.",,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"68","Hôtel Ibis Styles Mâcon Centre","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146259.jpg","Hôtel Ibis Styles Mâcon Centre","91, rue Victor Hugo",,,"71000","Mâcon","46,3035131","4,8269844","68625004400019","551A","62B4",,,"03 85 39 17 11",,"03 85 38 02 75","mailto: h6853@accor.com","http://www.ibis.com/fr/hotel-6853-ibis-styles-macon-centre-ex-all-seasons/index.shtml","http://www.ibis.com/fr/hotel-6853-ibis-styles-macon-centre-ex-all-seasons/index.shtml","Hôtels","3 étoiles (hôtel), 3 étoiles (nouveau classement)","49.0","49.0","49","5.0",,"1.0","1.0","Qualité Tourisme","Ibis Styles","Petit-déjeuner + wifi illimité inclus dans tous les prix du Ibis Styles Mâcon Centre. Idéalement situé entre Bourgogne et Beaujolais, au centre ville de Mâcon à 50 mètres de la gare de Mâcon, à 10 minutes de la gare TGV Mâcon Loché, à 45 minutes de l'aéroport de Lyon Saint-Exupéry. Notre ","Ouvert toute l'année.","Anglais, Français","Oui",,"Oui","Oui","20.","40.0",,,"Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Climatisation, Télévision, Wifi","Bar, Ascenseur, Garage privé, Parking privé, Jardin","Coffres clients, Wifi","Piscine plein-air",,"90.0","114.","110","127",,,,,,,,,,,,
"69","Hôtel Ibis Styles Mâcon Saint-Albain / La Salle","http://www.bourgogne-du-sud.com/images/bdd/photos/0/1/146281.jpg","Hôtel Ibis Styles Mâcon Saint-Albain / La Salle","Aire de Mâcon Saint-Albain Autoroute A6",,,"71260","Saint-Albain","46,4235936","4,8669843","37945523100371","5510Z",,,,"03 85 27 11 00",,"03 85 33 13 13","mailto: H0554@accor.com","http://www.accorhotels.com/fr/hotel-0554-all-seasons-macon-saint-albain-la-salle/index.shtml#","http://www.accorhotels.com/fr/hotel-0554-all-seasons-macon-saint-albain-la-salle/index.shtml","Hôtels - restaurant","3 étoiles (hôtel), 3 étoiles (nouveau classement)","70.0","70.0","70","62.",,"3.0","5.0","Qualité Tourisme","Ibis Styles","A 3 kilomètres du golf de Mâcon La Salle et du vignoble de Viré Clessé. Hôtel rénové, climatisé, insonorisé. Chambres spacieuses pouvant toutes accueillir de 1 à 4 personnes. Groupes, séminaires. Terrasse et piscine.","Ouvert toute l'année.","Anglais, Allemand, Italien, Espagnol, Portugais","Oui","Oui","Oui","Oui","15.","180.","1 gratuité pour 20 personnes payantes.","Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Climatisation, Télévision","Ascenseur, Garage privé, Jardin, Parking privé, Restaurant","Coffres clients, Service en chambre","Piscine plein-air",,"87.0","138.","117","127",,,,,"102.0","143.0","102.0","143.0","35.0","40.0","45.0","65.0"
"70","Hôtel International Les Ursulines - Restaurant Gourmet - Centre de Séminaires","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146195.jpg","Hôtel International Les Ursulines - Restaurant Gourmet - Centre de Séminaires","14, rue Rivault",,,"71400","Autun","46,9436","4,29846","48436075500017","551 OZ","484360755",,"Habilitation 071 050001","03 85 86 58 58",,"03 85 86 23 07","mailto: welcome@hotelursulines.fr","http://www.hotelursulines.fr",,"Hôtels - restaurant","3 étoiles","37.0","43.0","37","3.0","5.0","1.0","6.0","Bourgogne Séminaires, Qualité Tourisme","Châteaux et Hôtels Collection","Ville d'Autun, centre géographique de la Bourgogne. 300 sites à visiter dans un rayon de 150 kilomètres. L'hôtel International Les Ursulines est un ancien couvent du 17ème siècle et se situe au centre de la vieille ville, près de la cathédrale, en haut des remparts romains. Bien que l'hôtel soit en ville, il a une vue de campagne très reposante. Ses jardins à la française et son immense terrasse plein Sud offrent une vue panoramique sur la campagne et les monts du Morvan. Très calme. L'ancienne chapelle 18ème siècle accueille dîners, réceptions, mariages, séminaires, concerts. Dîner sur terrasse en été face au coucher de soleil. Progressivement, la Direction rénove les lieux, hall, couloirs et chambres selon les normes les plus récentes et avec le goût d'un hôtel de charme.","Ouvert toute l'année.","Anglais, Allemand, Italien, Espagnol","Oui","Oui","Oui","Oui","15.","100.","1 gratuité pour 21 personnes payantes. Voir offres en périodes promotionnelles. Contact : commercial@hotelursulines.fr","Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Climatisation, Mini-bar, Télévision, Wifi","Ascenseur, Bar, Garage privé, Jardin, Local matériel fermé, Parc, Restaurant","Service en chambre, Coffres clients","Animation","Animations internes et externes selon vos groupes et vos objectifs de communication. Exemple : construction de tonneaux en équipes - cours d'oenologie - cours de cuisine - visite du Château de Pommard et dégustation - visite de vignes en Jeep, VTT, quad, montgolfière, hélicoptère.","81.0","185.","91","0","137.","205.","12.0","12.0",,"138.5","89.0",,"58.0","63.0","87.0","113.0"
"71","Hôtel Kyriad - SAS Hôtel Saint-Hubert","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146214.jpg","Hôtel Kyriad - SAS Hôtel Saint-Hubert","35, place de Beaune","BP 30545",,"71323","Chalon-sur-Saône","46,7852047","4,8551788","34150145000017","551OZ","87B157",,,"03 85 90 08 00",,"03 85 90 08 01","mailto: kyriad.chalon@wanadoo.fr","http://www.kyriad.fr",,"Hôtels","3 étoiles (hôtel), 3 étoiles (nouveau classement)","43.0","43.0","43","3.0","3.0",,,"Tour de Bourgogne à vélo","Kyriad","Un avant goût de la convivialité en Bourgogne. Charmante maison du centre ville qui abrite 43 chambres joliment décorées, au calme pour la plupart et côté cour. Caveau bourguignon pour repas groupes.","Ouvert toute l'année.","Anglais, Allemand","Oui","Oui","Oui","Oui","20.","50.0","1 personne gratuite sur la base d'une chambre double (soit 1/2 gratuite pour 20 personnes payantes).","Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Climatisation, Mini-bar, Télévision, Wifi","Bar, Garage privé","Service en chambre","Sauna, Randonnée voie verte",,"76.0","82.0","110","110",,,"8.5","8.5",,,"85.0","95.0","35.0","37.0","53.0","56.0"
"72","Hôtel La Crémaillère",,"Hôtel La Crémaillère",,,,"71320","Toulon-sur-Arroux","46,6942265","4,1388127",,,,,,"03 85 79 42 32",,,,,,"Hôtels","Sans étoile","9.0",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"73","Hôtel La Grange Fleurie","http://www.bourgogne-du-sud.com/images/bdd/photos/_163277.jpg ","Hôtel La Grange Fleurie","Le Bourg",,,"71520","Tramayes","46,3069","4,59806","42088882800019",,"420888828",,,"03 85 50 59 36",,,"mailto: grangefleurie@wanadoo.fr","http://www.lagrangefleurie.fr",,"Hôtels","Sans étoile","8.0","8.0","8","2.0","1.0","2.0","1.0",,,"La Grange Fleurie, située en bordure du village de Tramayes, à 460 mètres d'altitude, jouit d'un panorama époustouflant sur la vallée du Valouzin et les versants boisés du mont de La Mère Boitier. Elle se trouve aussi sur la route des pèlerins de Saint-Jacques de Compostelle, la Route des Vins et proche de la Voie Verte. La Grange Fleurie, dont la récente restauration n'a pas altéré le charme rustique de cette demeure de 1837, toute en pierre et bois, vous offre un choix de six grandes chambres avec salle de bains, toutes joliment décorées selon un thème floral différent et un appartement de deux chambres, spécialement aménagé pour accueillir des personnes à mobilité réduite. Un salon de 80 m² vous attend le matin pour le petit-déjeuner ou en fin de journée pour vous détendre.","Ouvert toute l'année.","Anglais, Allemand","Oui","Oui",,"Oui","5.0","20.0",,"Non","Chèques Vacances","Wifi","Restaurant",,,,"50.0","55.0","50","80","55.0","100.","7.5","10.0","61.0","61.0",,,,,,
"74","Hôtel La Mirandole","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146298.jpg","Hôtel La Mirandole","Avenue du Clos Mouron",,,"71700","Tournus","46,5742","4,90426",,"En cours",,,,"03 85 51 23 86",,"03 85 51 25 26",,,,"Hôtels","2 étoiles","20.0","16.0","16","5.0",,"2.0",,,,"A la sortie de l'autoroute (sortie 27) et à l'entrée de la ville de Tournus, l'hôtel vous accueille dans ses 16 chambres en accès de plain-pied directement sur un jardin et parking privé. Piscine, wifi, bain, douche, toilette, télévision, téléphone avec prise modem. Nombreux restaurants à proximité. Ambiance familiale. Animaux acceptés.","Ouvert toute l'année.","Anglais","Oui","Oui","Oui","Oui","10.","20.0","Sur devis.",,"Chèques Vacances","Télévision, Accès Internet, Wifi","Jardin, Local matériel fermé, Parc","Service en chambre, Wifi","Piscine plein-air",,"48.0","51.0","56","68",,,"6.9",,,,,,,,,
"75","Hôtel Le Clos des Tourelles","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/163914.jpg",,"4, rue de la République",,,"71240","Sennecey-le-Grand","46,6366852","4,8697677",,,,,,"03 85 44 83 95",,"03 85 44 90 18","mailto: info@leclosdestourelles.fr","http://www.leclosdestourelles.fr",,"Hôtels","3 étoiles","10.0","10.0","10","2.0","1.0",,"2.0","Qualité Tourisme","Châteaux et Hôtels Collection","Bienvenue au Clos des Tourelles, château alliant l'authenticité d'une maison d'hôtes au confort d'un hôtel de charme, situé au milieu d'un grand parc, sur un site exceptionnel. Dix chambres de prestige, de vastes salons, une piscine et un jacuzzi en plein air.","Ouvert toute l'année.","Anglais","Oui","Oui","Oui","Oui",,,,"Oui","Chèques Vacances","Climatisation","Parking privé",,"Piscine plein-air, Jacuzzi",,"60.0","160.","120","127","190.","220.","12.0","14.0",,,,,,,,
"76","Hôtel Le Kolibri","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146393.jpg","Hôtel Le Kolibri","SARL Starroma","Rue Georges Mazoyer",,"71700","Tournus","46,5761","4,89967","40497681300034","5510Z","404976813",,,"03 85 51 96 60",,"03 85 32 16 90","mailto: kolibri3@wanadoo.fr","http://www.hotelkolibri.com",,"Hôtels","2 étoiles","30.0","30.0","30","2.0",,"2.0","1.0",,,"Situé à proximité de la sortie d'autoroute A6, le nouvel hôtel Le Kolibri de Tournus vous accueille dans son cadre agréable et chaleureux. L'hôtel est composé de 30 chambres spacieuses et insonorisées, équipées de la ",,"Anglais, Espagnol","Oui",,"Oui","Oui","10.","60.0",,"Non","Chèques Vacances","Accès Internet, Canal +, Climatisation, Télévision, Wifi","Local matériel fermé, Parking privé",,,,"61.0",,"81","0",,,,"8.0",,,,"66.0",,"37.0",,
"77","Hôtellerie du Val d'Or","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146267.jpg","Hôtellerie du Val d'Or","140, grande rue",,,"71640","Mercurey","46,8363788","4,7173139","43775097900019","5510Z","437750979",,,"03 85 45 13 70",,"03 85 45 18 45","mailto: contact@le-valdor.com","http://www.le-valdor.com",,"Hôtels - restaurant","3 étoiles (hôtel), 3 étoiles (nouveau classement)","12.0","12.0","12","2.0",,,"1.0","Qualité Tourisme, Tables et Auberges de France",,"Grande hôtellerie de village. Ancien relais de poste. Parking. Jardin de repos. Terrasse. Wifi (gratuit).",,"Anglais","Oui","Oui",,"Oui",,"55.0",,,"Chèques Vacances","Accès Internet, Câble/ satellite, Climatisation, Télévision, Wifi","Bar, Garage privé, Jardin, Parking privé, Restaurant","Location ou prêt de vélos/VTT",,,,,"0","0",,,,,,,,,,,,
"78","Hôtel Le Saint-Rémy","http://www.bourgogne-du-sud.com/images/bdd/photos/0/H/HOTBOU0710000391.jpg","Hôtel Le Saint-Rémy","89, rue Auguste Martin",,,"71100","Saint-Rémy","46,7726605","4,8325229","39056505900016","551OZ",,,,"03 85 48 38 04",,"03 85 93 68 56","mailto: hotel.saint.remy@wanadoo.fr","http://www.lesaintremy.com",,"Hôtels","2 étoiles (nouveau classement), 2 étoiles (hôtel)","31.0","31.0","31","6.0",,,"1.0","Qualité Tourisme, Tour de Bourgogne à vélo","Contact Hôtel","Bâtiment indépendant sur 1 000 m², entièrement rénové, tout confort. A 5 minutes des grands axes et de Chalon-sur-Saône. A proximité de la Voie Verte. Très calme. Salles climatisées. Wifi. Groupement Contact Hôtel. 260 hôtels indépendants à votre service. Votre 12ème nuit remboursée dans tout le réseau. Carte de fidélité permanente.","Fermé du 02/08/2013 au 18/08/2013 et du 22/12/2013 au 05/01/2014.","Anglais","Oui","Oui","Oui","Oui","10.","56.0","5 % de remise sur la facture totale et gratuité pour le chauffeur.","Oui","Chèques Vacances","Accès Internet, Câble/ satellite, Canal +, Wifi, Télévision","Bar, Garage privé, Jardin, Local matériel fermé, Parc, Parking privé","Service en chambre","Randonnée voie verte",,"57.0","62.0","67","74",,,"7.0","7.0",,,"67.0","67.0","34.0","34.0",,
"79","Hôtel Le Sauvage","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000418.jpg","Hôtel Le Sauvage","15, place du Champ de Mars",,,"71700","Tournus","46,5640042","4,9083325","80708005600011","551A","B807080056",,,"03 85 51 14 45",,"03 85 32 10 27","mailto:hotel.le-sauvage@orange.fr","http://www.hotel-le-sauvage.fr","http://ldf.reservit.com/reservit/reserhotel.php?id=12&partid=378&hotelid=775","Hôtels","3 étoiles (hôtel), 3 étoiles (nouveau classement)","28.0","28.0","28",,,,"1.0",,,"Hôtel traditionnel. Accueil familial. Restaurant offrant un vaste choix à la carte ainsi que divers menus alliant spécialités traditionnelles et spécialités maison.",,"Anglais",,,,"Oui",,"60.0",,,,,"Ascenseur, Bar, Parking privé","Service en chambre",,,"68.0","71.0","0","0",,,,,,,,"94.0",,,,
"80","Hôtel Les Jacobines",,"Hôtel Les Jacobines","10, rue des Jacobines",,,"71100","Chalon-sur-Saône","46,7844954","4,8558014","499646545","551C","2007B360",,,"03 85 48 12 24","06 72 77 37 43","03 85 48 84 86","mailto: duloquin.nathalie@wanadoo.fr","http://www.hotel-lesjacobines.com",,"Hôtels","1 étoile (nouveau classement), 1 étoile (hôtel)","23.0","23.0","23",,,,,,,"23 chambres en centre. Situation tranquille et calme. Accueil chaleureux.","Fermé du 15/08 au 30/08.","Anglais","Oui",,,,,,,,"Chèques Vacances","Accès Internet, Télévision","Parking privé","Wifi",,,"36.0","65.0","50","65",,,"6.5","6.5",,,"59.0","59.0",,,,
"81","Hôtel Le Téméraire",,"Hôtel Le Téméraire","3, avenue Joanny Furtin",,,"71120","Charolles","46,4362987","4,2796089","31973900900011","551A",,,,"03 85 24 06 66","06 85 52 58 69","03 85 24 05 54","mailto: guinet.suzanne@wanadoo.fr",,,"Hôtels","2 étoiles","10.0","10.0","10",,,,,,,"Les chambres coquettes et de grand confort sont insonorisées et toutes équipées de télévision, téléphone direct, salle de bains. Petit-déjeuner servi dans une salle plaisante. Soirée étape, V.R.P.",,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"82","Hôtel Le Val de Joux",,"Hôtel Le Val de Joux","Place du Champ de Foire",,,"71220","Saint-Bonnet-de-Joux","46,4818659","4,4387736",,,,,,"03 85 24 79 21",,,,,,"Hôtels",,"5.0",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"83","Hôtel Mâcon La Salle","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000470.jpg","Hôtel Mâcon La Salle","Autoroute A6","Aire de Mâcon La Salle",,"71260","Saint-Albain","46,02587","4,724994",,,,,,"03 85 22 79 82",,"09 70 06 93 33",,"www.hotelmaconlasalle.fr","Réception: 03 85 22 79 82","Hôtels","1 étoile (nouveau classement), 1 étoile (hôtel)","57.0","47.0","57","12.",,"3.0",,,,"Hotel économique 1 étoile, toutes nos chambres pour 1 , 2 ou 3 personnes sont équipées de douches et toilettes privatives , tv avec TNT , des chambres familiales pouvant accueillir jusqu'à 5 personnes , un parking privatif et un espace canin sont également à votre disposition gratuitement , un café d'accueil vous est offert tous les jours entre 18h et 22h ","Hotel ouvert 7j/7j","Anglais, Français","Oui","Oui",,"Oui","10.","80.0",,,,"Accès Internet","Parking privé","Wifi",,,"50.0","60.0","0","127",,,"3.0","6.5",,,,,,,,
"84","Hôtel Première Classe",,"Hôtel Première Classe","Le Champ Fleuri - Rue Raoul Ponchon",,,"71100","Chalon-sur-Saône","46,793275","4,833535","44447932300016","551A","444479323",,,"03 85 43 25 12",,"03 85 43 26 63",,,,"Hôtels","1 étoile (nouveau classement), 1 étoile (hôtel)","71.0","71.0","71",,,,,,"Première Classe",,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,
"85","Hôtel Première Classe Mâcon Sud","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/1/146376.jpg","Hôtel Première Classe Mâcon Sud","114, rue de Bresse","ZAC des Bouchardes",,"71570","Chaintré","46,2559","4,79136","48106094500013","551",,,,"08 92 70 71 46, 03 85 36 55 70",,"03 85 37 49 50","mailto: hotelpremiereclassechaintre@wanadoo.fr","http://www.premiereclasse.fr",,"Hôtels","1 étoile (hôtel), 1 étoile (nouveau classement)","50.0","50.0","50",,,"2.0",,,"Première Classe, Campanile, Kyriad","A Mâcon sud, axe Crèches-sur-Saône, direction Lyon, hôtel entièrement rénové, climatisé, idéalement situé sur la RN6. Profitez du meilleur prix garanti. Sur le parking du Campanile Mâcon sud (restauration). A proximité des grands axes autoroutiers.","Ouvert toute l'année.","Anglais","Oui",,"Oui","Oui","20.","130.",,,"Chèques Vacances","Câble/ satellite, Canal +, Climatisation, Télévision","Parking privé, Restaurant",,,,"42.0","50.0","0","0",,,"4.8","4.8",,,"62.0","70.0","25.0","30.0","40.0","48.0"
"86","""Hôtel-Restaurant """"Le F-Commerce""""""","http://www.bourgogne-du-sud.com/images/bdd/photos/HOTBOU0710000533.jpg","""Hôtel-Restaurant """"Le F-Commerce""""""","1, rue Nationale",,,"71420","Génelard","46,5806958","4,2355088","45262978500018","551A","452629785",,,"03 85 79 20 87",,,,,,"Hôtels - restaurant","Sans étoile","6.0","6.0","6",,,,,,,,,,"Oui",,"Oui","Oui","8.0","16.0",,,,"Télévision","Bar, Garage privé, Parking privé, Restaurant",,,,,,"0","0",,,,,,,,,,,,
"87","""Hôtel-Restaurant """"Le Moulin de Saint-Vérand""""""",,"""Hôtel-Restaurant """"Le Moulin de Saint-Vérand""""""","La Roche",,,"71570","Saint-Vérand","46,2539926","4,7422997","53011934600019","5510Z",,,,"03 85 23 90 90",,"03 85 23 90 91","mailto: direction@moulindesaintverand.fr","http://www.moulindesaintverand.fr",,"Hôtels - restaurant","3 étoiles (nouveau classement), 3 étoiles (hôtel)","15.0","15.0","15","3.0",,,"1.0","Logis, Qualité Tourisme","Logis","Blottie entre les vignobles du Mâconnais et du Beaujolais, l'auberge vous accueille dans un cadre chaud et rustique. Cuisine traditionnelle et choix des vins des propriétaires alentours. Terrasses et parcs ombragés avec jeux enfants, piscine. Wifi.",,"Anglais, Portugais","Oui","Oui","Oui","Oui",,"70.0",,,"Chèques Vacances","Accès Internet, Télévision, Wifi","Jeux pour enfants, Local matériel fermé, Parc, Parking privé, Restaurant",,"Piscine plein-air",,"72.0","94.0","97","127",,,"12.0","12.0","78.0","89.0","80.0","85.0",,,,
"88","""Hôtel-Restaurant """"Le Relais de Saint-Julien""""""","http://www.bourgogne-du-sud.com/images/bdd/photos/100083/2/220028.jpg","""Hôtel-Restaurant """"Le Relais de Saint-Julien""""""","Le Bourg",,,"71110","Saint-Julien-de-Jonzy","46,2361829","4,144076",,,,,,"03 85 84 01 95",,"03 85 84 14 61","mailto: lerelaisdestjulien@orange.fr","http://www.le-relais-de-saint-julien.com","http://reservation-hotel.logishotels.com/reservit/avail-info.php?userid=3017f333bbef0c9f71efe903236","Hôtels - restaurant","2 étoiles (hôtel), 2 étoiles (nouveau classement)","9.0","9.0","9",,,,,"Logis, Qualité Tourisme","Logis",,,,,,,,,,,,,,"Restaurant",,,,"41.0","50.0","55","64",,,"7.5",,"63.0","77.0","63.0","77.0",,,,
